Ticker,Stock Name,Share Average,Current Price,Return,Date,Time
300333.SZ,SINOSUN,4.78,5.01,0.22999999999999954,01/07/24,14:42:55
300979.SZ,HLIG,69.51,62.06,-7.450000000000003,01/07/24,14:42:56
PANCARBON.BO,PANASONIC CARBON INDIA CO.LTD.-$,516.5,518.40,1.8999999999999773,01/07/24,14:42:57
SIG.AX,"Sigma Company Ltd
",1.22,1.2450,0.025000000000000133,01/07/24,14:42:58
4985.T,Earth Corporation,4660.0,4795.00,135.0,01/07/24,14:42:59
SRF.BO,SRF LTD.,2308.05,2459.50,151.44999999999982,01/07/24,14:43:00
PRU.L,"PRUDENTIAL
",765.8,719.60,-46.19999999999993,01/07/24,14:43:01
RRSECUR.BO,R.R.SECURITIES LTD.,12.61,719.60,706.99,01/07/24,14:43:02
WORTH.BO,Worth Investment & Trading Co Ltd,345.0,419.85,74.85000000000002,01/07/24,14:43:03
2730.T,EDION Corporation,1575.0,1635.00,60.0,01/07/24,14:43:04
6736.T,Sun Corporation,3590.0,4820.00,1230.0,01/07/24,14:43:05
RNX.AX,"Renegade Exploration Limited
",0.019,0.0150,-0.004,01/07/24,14:43:06
1860.T,Toda Corporation,1044.0,1040.50,-3.5,01/07/24,14:43:07
SBR.AX,"Sabre Resources Ltd
",0.017,0.0170,0.0,01/07/24,14:43:09
TFCILTD.BO,Tourism Finance Corporation of India Limited,204.7,204.70,0.0,01/07/24,14:43:10
