Ticker,Stock Name,Share Value, Shares, Share Average,Return
300333.SZ,SINOSUN,4.7800,1,4.78,0
300979.SZ,HLIG,69.51,1,69.51,0
PANCARBON.BO,PANASONIC CARBON INDIA CO.LTD.-$,516.50,1,516.5,0
SIG.AX,"Sigma Company Ltd
",1.2200,1,1.22,0
4985.T,Earth Corporation,4660.0,1,4660.0,0
SRF.BO,SRF LTD.,2308.05,1,2308.05,0
PRU.L,"PRUDENTIAL
",765.8,1,765.8,0
RRSECUR.BO,R.R.SECURITIES LTD.,12.61,1,12.61,0
WORTH.BO,Worth Investment & Trading Co Ltd,345.00,1,345.0,0
2730.T,EDION Corporation,1575.00,1,1575.0,0
6736.T,Sun Corporation,3590.00,1,3590.0,0
RNX.AX,"Renegade Exploration Limited
",0.0190,1,0.019,0
1860.T,Toda Corporation,1044.00,1,1044.0,0
SBR.AX,"Sabre Resources Ltd
",0.0170,1,0.017,0
TFCILTD.BO,Tourism Finance Corporation of India Limited,204.70,1,204.7,0
